Date,Description,Merchant,Category,Amount,Balance
2026-02-17,WIRE FROM ACME LABS INV-1054,Acme Labs,Consulting Income,8500.00,24120.24
2026-02-19,ATT WIRELESS BUSINESS,AT&T,Utilities,-186.40,23933.84
2026-02-20,LINEAR APP SOFTWARE,Linear,Software,-24.00,23909.84
2026-02-22,ALPINE TOOLS LLC EQUIPMENT,Alpine Tools LLC,Equipment,-9240.00,14669.84
2026-02-23,GOOGLE WORKSPACE BUSINESS,Google Workspace,Software,-72.00,14597.84
2026-02-25,AMAZON.COM*9XY8WZ HEALTH PRODUCTS,Amazon,Office Supplies,-86.20,14511.64
2026-02-26,UBER EATS DINNER MEETING,Uber Eats,Meals,-62.80,14448.84
2026-02-27,STRIPE TRANSFER 09/27,Stripe,Payment Processing,-58.20,14390.64
2026-02-27,GUSTO PAYROLL FEB16-28,Gusto,Payroll,-12690.20,1700.44
2026-02-28,DEPOSIT REMOTE - LAVENDER PROJECTS,Lavender Projects,Consulting Income,4250.00,5950.44
2026-03-02,WE WORK MEMBERSHIP MONTHLY,WeWork,Rent,-4200.00,1750.44
2026-03-03,WIRE FROM NORTHWIND CO INV-1067,Northwind Co,Consulting Income,12500.00,14250.44
2026-03-04,AWS MARKETPLACE,AWS,Cloud Infrastructure,-1024.50,13225.94
2026-03-05,NOTION LABS INC,Notion,Software,-16.00,13209.94
2026-03-05,GITHUB INC PRO,GitHub,Software,-21.00,13188.94
2026-03-06,SLACK TECHNOLOGIES,Slack,Software,-30.00,13158.94
2026-03-06,FIGMA INC PROFESSIONAL,Figma,Software,-15.00,13143.94
2026-03-08,ANTHROPIC API USAGE,Anthropic,Software,-241.80,12902.14
2026-03-09,UBER EATS TEAM LUNCH,Uber Eats,Meals,-92.40,12809.74
2026-03-12,ZOOM VIDEO COMMUNICATIONS,Zoom,Software,-149.90,12659.84
2026-03-13,GUSTO PAYROLL MAR1-15,Gusto,Payroll,-12890.20,-230.36
2026-03-14,WIRE FROM SUMMITWORKS LLC INV-1078,SummitWorks LLC,Consulting Income,6800.00,6569.64
2026-03-15,STRIPE TRANSFER 09/15,Stripe,Payment Processing,-72.40,6497.24
2026-03-16,COMCAST BUSINESS INTERNET,Comcast,Utilities,-189.95,6307.29
2026-03-17,WIRE FROM ACME LABS INV-1082,Acme Labs,Consulting Income,8500.00,14807.29
2026-03-19,ATT WIRELESS BUSINESS,AT&T,Utilities,-186.40,14620.89
2026-03-20,LINEAR APP SOFTWARE,Linear,Software,-24.00,14596.89
2026-03-23,GOOGLE WORKSPACE BUSINESS,Google Workspace,Software,-72.00,14524.89
2026-03-24,AMAZON.COM*4FF5EE OFFICE,Amazon,Office Supplies,-218.94,14305.95
2026-03-26,DELTA AIR LINES SFO-NYC,Delta,Travel,-712.40,13593.55
2026-03-27,GUSTO PAYROLL MAR16-31,Gusto,Payroll,-12890.20,703.35
2026-03-28,DEPOSIT REMOTE - SUMMITWORKS LLC,SummitWorks LLC,Consulting Income,6800.00,7503.35
2026-03-29,STRIPE TRANSFER 09/29,Stripe,Payment Processing,-72.40,7430.95
2026-03-30,ANTHROPIC API USAGE,Anthropic,Software,-298.20,7132.75
2026-03-31,WIRE FROM NORTHWIND CO INV-1096,Northwind Co,Consulting Income,12500.00,19632.75
