Trip ID,Request Time (UTC),Begin Trip Time (UTC),Begin Trip Lat,Begin Trip Lng,Begin Trip Address,Dropoff Time (UTC),Dropoff Lat,Dropoff Lng,Dropoff Address,Distance (miles),Duration (min),Fare Amount,Tip Amount,Fee Amount,Total Amount,Fare Currency,Trip or Order Status,Product Type,City,Surge Multiplier
SYN-UBR-000015,2024-01-23 18:07:00 +0000 UTC,2024-01-23 18:07:00 +0000 UTC,37.78,-122.4,"Office (synthetic, SoMa)",2024-01-23 18:17:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",1.69,10,8.05,3.47,2.47,13.99,USD,completed,UberX,San Francisco,
SYN-UBR-000016,2024-01-28 11:40:00 +0000 UTC,2024-01-28 11:40:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",2024-01-28 11:44:00 +0000 UTC,37.76,-122.42,"Brunch spot (synthetic, Mission)",0.58,4,7.53,2.75,2.38,12.66,USD,completed,UberX,San Francisco,
SYN-UBR-000017,2024-01-28 13:43:00 +0000 UTC,2024-01-28 13:44:00 +0000 UTC,37.76,-122.42,"Brunch spot (synthetic, Mission)",2024-01-28 13:48:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",0.35,4,7.54,2.21,2.41,12.16,USD,completed,UberX,San Francisco,
SYN-UBR-000018,2024-01-30 08:26:00 +0000 UTC,2024-01-30 08:27:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",2024-01-30 08:35:00 +0000 UTC,37.78,-122.4,"Office (synthetic, SoMa)",1.88,8,8.04,3.44,2.68,14.16,USD,completed,Uber Pool,San Francisco,
SYN-UBR-000019,2024-01-30 18:42:00 +0000 UTC,2024-01-30 18:42:00 +0000 UTC,37.78,-122.4,"Office (synthetic, SoMa)",2024-01-30 18:50:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",1.71,8,8.78,1.81,2.27,12.86,USD,completed,UberX,San Francisco,
SYN-UBR-000020,2024-02-01 08:23:00 +0000 UTC,2024-02-01 08:23:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",2024-02-01 08:30:00 +0000 UTC,37.78,-122.4,"Office (synthetic, SoMa)",1.7,7,7.72,2.83,2.43,12.98,USD,completed,UberX,San Francisco,
SYN-UBR-000021,2024-02-01 18:11:00 +0000 UTC,2024-02-01 18:11:00 +0000 UTC,37.78,-122.4,"Office (synthetic, SoMa)",2024-02-01 18:17:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",1.76,6,7.21,0,1.9,9.11,USD,completed,Uber Comfort,San Francisco,
SYN-UBR-000022,2024-02-02 23:15:00 +0000 UTC,2024-02-02 23:16:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",2024-02-02 23:21:00 +0000 UTC,37.76,-122.41,"Bar (synthetic, Mission)",0.51,5,7.2,0,2.84,10.04,USD,completed,UberX,San Francisco,
SYN-UBR-000023,2024-02-03 01:02:00 +0000 UTC,2024-02-03 01:03:00 +0000 UTC,37.76,-122.41,"Bar (synthetic, Mission)",2024-02-03 01:07:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",0.39,4,6.73,1.73,2.06,10.52,USD,completed,UberX,San Francisco,
SYN-UBR-000024,2024-02-04 11:44:00 +0000 UTC,2024-02-04 11:44:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",2024-02-04 11:48:00 +0000 UTC,37.76,-122.42,"Brunch spot (synthetic, Mission)",0.51,4,7.41,0,2.87,10.28,USD,completed,UberX,San Francisco,
SYN-UBR-000025,2024-02-04 13:45:00 +0000 UTC,2024-02-04 13:46:00 +0000 UTC,37.76,-122.42,"Brunch spot (synthetic, Mission)",2024-02-04 13:50:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",0.33,4,6.82,1.84,2.23,10.89,USD,completed,UberX,San Francisco,
SYN-UBR-000026,2024-02-06 08:22:00 +0000 UTC,2024-02-06 08:22:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",2024-02-06 08:30:00 +0000 UTC,37.78,-122.4,"Office (synthetic, SoMa)",1.73,8,7.97,0,2.97,10.94,USD,completed,UberX,San Francisco,
SYN-UBR-000027,2024-02-06 18:37:00 +0000 UTC,2024-02-06 18:38:00 +0000 UTC,37.78,-122.4,"Office (synthetic, SoMa)",2024-02-06 18:46:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",1.64,8,8,3.04,2.53,13.57,USD,completed,Uber Comfort,San Francisco,
SYN-UBR-000028,2024-02-13 08:17:00 +0000 UTC,2024-02-13 08:17:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",2024-02-13 08:24:00 +0000 UTC,37.78,-122.4,"Office (synthetic, SoMa)",1.88,7,8.7,1.78,2.12,12.6,USD,completed,UberX,San Francisco,
SYN-UBR-000029,2024-02-13 18:07:00 +0000 UTC,2024-02-13 18:07:00 +0000 UTC,37.78,-122.4,"Office (synthetic, SoMa)",2024-02-13 18:15:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",1.56,8,8.28,2.3,2.24,12.82,USD,completed,UberX,San Francisco,
SYN-UBR-000030,2024-02-14 06:30:00 +0000 UTC,2024-02-14 06:30:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",2024-02-14 07:04:00 +0000 UTC,37.62,-122.38,SFO Terminal 2 (synthetic),9.83,34,30.4,0,2.99,33.39,USD,completed,UberX,San Francisco,
SYN-UBR-000031,2024-02-16 23:21:00 +0000 UTC,2024-02-16 23:21:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",2024-02-16 23:26:00 +0000 UTC,37.76,-122.41,"Bar (synthetic, Mission)",0.56,5,7.48,0,1.92,9.4,USD,completed,UberX,San Francisco,
SYN-UBR-000032,2024-02-17 01:44:00 +0000 UTC,2024-02-17 01:44:00 +0000 UTC,37.76,-122.41,"Bar (synthetic, Mission)",2024-02-17 01:48:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",0.44,4,6.73,3.34,2.19,12.26,USD,completed,UberX,San Francisco,
SYN-UBR-000033,2024-02-20 08:11:00 +0000 UTC,2024-02-20 08:12:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",2024-02-20 08:20:00 +0000 UTC,37.78,-122.4,"Office (synthetic, SoMa)",1.94,8,8.07,2.14,1.87,12.08,USD,completed,UberX,San Francisco,
SYN-UBR-000034,2024-02-20 18:38:00 +0000 UTC,2024-02-20 18:38:00 +0000 UTC,37.78,-122.4,"Office (synthetic, SoMa)",2024-02-20 18:45:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",1.73,7,7.25,2.26,1.89,11.4,USD,completed,UberX,San Francisco,
SYN-UBR-000035,2024-02-21 19:48:00 +0000 UTC,2024-02-21 19:48:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",2024-02-21 19:53:00 +0000 UTC,37.77,-122.43,"Gym (synthetic, Hayes Valley)",0.88,5,7.53,3.2,1.9,12.63,USD,completed,UberX,San Francisco,
SYN-UBR-000036,2024-02-21 22:11:00 +0000 UTC,2024-02-21 22:11:00 +0000 UTC,37.62,-122.38,SFO Terminal 2 (synthetic),2024-02-21 22:45:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",9.99,34,31.79,0,2.77,34.56,USD,completed,Uber Comfort,San Francisco,
SYN-UBR-000037,2024-02-22 08:07:00 +0000 UTC,2024-02-22 08:07:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",2024-02-22 08:14:00 +0000 UTC,37.78,-122.4,"Office (synthetic, SoMa)",1.88,7,8.39,2.68,2.12,13.19,USD,completed,Uber Pool,San Francisco,
SYN-UBR-000038,2024-02-22 18:30:00 +0000 UTC,2024-02-22 18:30:00 +0000 UTC,37.78,-122.4,"Office (synthetic, SoMa)",2024-02-22 18:39:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",1.68,9,8.77,3.07,2.98,14.82,USD,completed,UberX,San Francisco,
SYN-UBR-000039,2024-02-27 08:34:00 +0000 UTC,2024-02-27 08:34:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",2024-02-27 08:40:00 +0000 UTC,37.78,-122.4,"Office (synthetic, SoMa)",1.84,6,6.83,2.39,2.54,11.76,USD,completed,UberX,San Francisco,
SYN-UBR-000040,2024-02-27 18:13:00 +0000 UTC,2024-02-27 18:13:00 +0000 UTC,37.78,-122.4,"Office (synthetic, SoMa)",2024-02-27 18:22:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",1.66,9,7.93,0,1.85,9.78,USD,completed,UberX,San Francisco,
SYN-UBR-000041,2024-02-29 08:13:00 +0000 UTC,2024-02-29 08:13:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",2024-02-29 08:22:00 +0000 UTC,37.78,-122.4,"Office (synthetic, SoMa)",1.95,9,8.1,3.35,2.71,14.16,USD,completed,Uber Pool,San Francisco,
SYN-UBR-000042,2024-02-29 18:02:00 +0000 UTC,2024-02-29 18:03:00 +0000 UTC,37.78,-122.4,"Office (synthetic, SoMa)",2024-02-29 18:09:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",1.57,6,7.66,3.39,2.63,13.68,USD,completed,UberX,San Francisco,
SYN-UBR-000043,2024-03-01 23:46:00 +0000 UTC,2024-03-01 23:46:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",2024-03-01 23:50:00 +0000 UTC,37.76,-122.41,"Bar (synthetic, Mission)",0.73,4,6.5,0,2.02,8.52,USD,completed,UberX,San Francisco,
SYN-UBR-000044,2024-03-02 01:32:00 +0000 UTC,2024-03-02 01:33:00 +0000 UTC,37.76,-122.41,"Bar (synthetic, Mission)",2024-03-02 01:37:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",0.39,4,7.37,2.49,2.24,12.1,USD,completed,Uber Comfort,San Francisco,
SYN-UBR-000045,2024-03-05 08:19:00 +0000 UTC,2024-03-05 08:19:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",2024-03-05 08:27:00 +0000 UTC,37.78,-122.4,"Office (synthetic, SoMa)",1.75,8,7.68,2.53,2.71,12.92,USD,completed,Uber Pool,San Francisco,
SYN-UBR-000046,2024-03-05 18:38:00 +0000 UTC,2024-03-05 18:39:00 +0000 UTC,37.78,-122.4,"Office (synthetic, SoMa)",2024-03-05 18:47:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",1.77,8,7.58,2.11,1.83,11.52,USD,completed,UberX,San Francisco,
SYN-UBR-000047,2024-03-07 08:05:00 +0000 UTC,2024-03-07 08:05:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",2024-03-07 08:13:00 +0000 UTC,37.78,-122.4,"Office (synthetic, SoMa)",1.89,8,8.93,3.28,2.78,14.99,USD,completed,UberX,San Francisco,
SYN-UBR-000048,2024-03-07 18:08:00 +0000 UTC,2024-03-07 18:08:00 +0000 UTC,37.78,-122.4,"Office (synthetic, SoMa)",2024-03-07 18:17:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",1.71,9,8.38,0,2.69,11.07,USD,completed,UberX,San Francisco,
SYN-UBR-000049,2024-03-09 11:16:00 +0000 UTC,2024-03-09 11:17:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",2024-03-09 11:21:00 +0000 UTC,37.76,-122.42,"Brunch spot (synthetic, Mission)",0.54,4,6.67,2.13,1.77,10.57,USD,completed,UberX,San Francisco,
SYN-UBR-000050,2024-03-09 13:13:00 +0000 UTC,2024-03-09 13:14:00 +0000 UTC,37.76,-122.42,"Brunch spot (synthetic, Mission)",2024-03-09 13:18:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",0.43,4,7.28,2.64,2.79,12.71,USD,completed,UberX,San Francisco,
SYN-UBR-000051,2024-03-14 08:31:00 +0000 UTC,2024-03-14 08:32:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",2024-03-14 08:38:00 +0000 UTC,37.78,-122.4,"Office (synthetic, SoMa)",1.82,6,8.12,0,2.83,10.95,USD,completed,UberX,San Francisco,
SYN-UBR-000052,2024-03-14 18:19:00 +0000 UTC,2024-03-14 18:19:00 +0000 UTC,37.78,-122.4,"Office (synthetic, SoMa)",2024-03-14 18:25:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",1.86,6,8.14,2.22,1.74,12.1,USD,completed,UberX,San Francisco,
SYN-UBR-000053,2024-03-19 08:21:00 +0000 UTC,2024-03-19 08:22:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",2024-03-19 08:29:00 +0000 UTC,37.78,-122.4,"Office (synthetic, SoMa)",1.88,7,8.12,0,2.14,10.26,USD,completed,UberX,San Francisco,
SYN-UBR-000054,2024-03-19 18:21:00 +0000 UTC,2024-03-19 18:21:00 +0000 UTC,37.78,-122.4,"Office (synthetic, SoMa)",2024-03-19 18:30:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",1.83,9,9.27,1.54,2.18,12.99,USD,completed,Uber Comfort,San Francisco,
SYN-UBR-000055,2024-03-21 08:16:00 +0000 UTC,2024-03-21 08:17:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",2024-03-21 08:23:00 +0000 UTC,37.78,-122.4,"Office (synthetic, SoMa)",1.96,6,7.14,0,2.44,9.58,USD,completed,UberX,San Francisco,
SYN-UBR-000056,2024-03-21 18:32:00 +0000 UTC,2024-03-21 18:33:00 +0000 UTC,37.78,-122.4,"Office (synthetic, SoMa)",2024-03-21 18:39:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",1.78,6,7.58,0,2.24,9.82,USD,completed,UberX,San Francisco,
SYN-UBR-000057,2024-03-23 11:27:00 +0000 UTC,2024-03-23 11:27:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",2024-03-23 11:31:00 +0000 UTC,37.76,-122.42,"Brunch spot (synthetic, Mission)",0.39,4,6.39,2.73,1.8,10.92,USD,completed,UberX,San Francisco,
SYN-UBR-000058,2024-03-23 13:57:00 +0000 UTC,2024-03-23 13:57:00 +0000 UTC,37.76,-122.42,"Brunch spot (synthetic, Mission)",2024-03-23 14:01:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",0.47,4,7.36,2.84,1.93,12.13,USD,completed,UberX,San Francisco,
SYN-UBR-000059,2024-03-28 08:22:00 +0000 UTC,2024-03-28 08:22:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",2024-03-28 08:31:00 +0000 UTC,37.78,-122.4,"Office (synthetic, SoMa)",1.67,9,8.71,0,1.86,10.57,USD,completed,UberX,San Francisco,
SYN-UBR-000060,2024-03-28 18:37:00 +0000 UTC,2024-03-28 18:37:00 +0000 UTC,37.78,-122.4,"Office (synthetic, SoMa)",2024-03-28 18:46:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",1.71,9,8.86,0,1.95,10.81,USD,completed,Uber Comfort,San Francisco,
SYN-UBR-000061,2024-03-31 11:11:00 +0000 UTC,2024-03-31 11:11:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",2024-03-31 11:16:00 +0000 UTC,37.76,-122.42,"Brunch spot (synthetic, Mission)",0.45,5,6.94,0,2.35,9.29,USD,completed,UberX,San Francisco,
SYN-UBR-000062,2024-03-31 13:24:00 +0000 UTC,2024-03-31 13:24:00 +0000 UTC,37.76,-122.42,"Brunch spot (synthetic, Mission)",2024-03-31 13:28:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",0.56,4,7.74,2.26,1.86,11.86,USD,completed,UberX,San Francisco,
SYN-UBR-000063,2024-04-04 08:28:00 +0000 UTC,2024-04-04 08:28:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",2024-04-04 08:37:00 +0000 UTC,37.78,-122.4,"Office (synthetic, SoMa)",1.73,9,8.88,0,2.03,10.91,USD,completed,UberX,San Francisco,
SYN-UBR-000064,2024-04-04 18:03:00 +0000 UTC,2024-04-04 18:03:00 +0000 UTC,37.78,-122.4,"Office (synthetic, SoMa)",2024-04-04 18:10:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",1.57,7,7.43,2.19,2.69,12.31,USD,completed,UberX,San Francisco,
SYN-UBR-000065,2024-04-05 13:15:00 +0000 UTC,,37.76,-122.42,"Home (synthetic, Mission)",,37.78,-122.4,"Office (synthetic, SoMa)",0,0,4.99,0,0,4.99,USD,driver_cancelled,UberX,San Francisco,
SYN-UBR-000066,2024-04-05 23:18:00 +0000 UTC,2024-04-05 23:19:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",2024-04-05 23:23:00 +0000 UTC,37.76,-122.41,"Bar (synthetic, Mission)",0.46,4,7.56,3,2.93,13.49,USD,completed,UberX,San Francisco,
SYN-UBR-000067,2024-04-06 02:15:00 +0000 UTC,2024-04-06 02:15:00 +0000 UTC,37.76,-122.41,"Bar (synthetic, Mission)",2024-04-06 02:19:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",0.57,4,7.08,0,3.13,10.21,USD,completed,UberX,San Francisco,
SYN-UBR-000068,2024-04-07 11:24:00 +0000 UTC,2024-04-07 11:24:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",2024-04-07 11:28:00 +0000 UTC,37.76,-122.42,"Brunch spot (synthetic, Mission)",0.49,4,6.52,1.67,3.06,11.25,USD,completed,UberX,San Francisco,
SYN-UBR-000069,2024-04-07 13:28:00 +0000 UTC,2024-04-07 13:28:00 +0000 UTC,37.76,-122.42,"Brunch spot (synthetic, Mission)",2024-04-07 13:33:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",0.39,5,6.43,3.2,2.35,11.98,USD,completed,UberX,San Francisco,
SYN-UBR-000070,2024-04-09 08:26:00 +0000 UTC,2024-04-09 08:26:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",2024-04-09 08:31:00 +0000 UTC,37.78,-122.4,"Office (synthetic, SoMa)",1.7,5,7.75,0,2.91,10.66,USD,completed,Uber Pool,San Francisco,
SYN-UBR-000071,2024-04-09 18:19:00 +0000 UTC,2024-04-09 18:20:00 +0000 UTC,37.78,-122.4,"Office (synthetic, SoMa)",2024-04-09 18:29:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",1.89,9,8.04,0,1.95,9.99,USD,completed,UberX,San Francisco,
SYN-UBR-000072,2024-04-11 08:19:00 +0000 UTC,2024-04-11 08:19:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",2024-04-11 08:28:00 +0000 UTC,37.78,-122.4,"Office (synthetic, SoMa)",1.75,9,8.06,2.19,2.5,12.75,USD,completed,UberX,San Francisco,
SYN-UBR-000073,2024-04-11 18:28:00 +0000 UTC,2024-04-11 18:29:00 +0000 UTC,37.78,-122.4,"Office (synthetic, SoMa)",2024-04-11 18:37:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",1.6,8,8.72,0,1.95,10.67,USD,completed,UberX,San Francisco,
SYN-UBR-000074,2024-04-12 23:16:00 +0000 UTC,2024-04-12 23:16:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",2024-04-12 23:20:00 +0000 UTC,37.76,-122.41,"Bar (synthetic, Mission)",0.67,4,7.59,0,1.91,9.5,USD,completed,UberX,San Francisco,
SYN-UBR-000075,2024-04-13 02:56:00 +0000 UTC,2024-04-13 02:57:00 +0000 UTC,37.76,-122.41,"Bar (synthetic, Mission)",2024-04-13 03:01:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",0.4,4,6.38,0,2.66,9.04,USD,completed,Uber Comfort,San Francisco,
SYN-UBR-000076,2024-04-16 08:28:00 +0000 UTC,2024-04-16 08:28:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",2024-04-16 08:34:00 +0000 UTC,37.78,-122.4,"Office (synthetic, SoMa)",1.87,6,6.88,0,1.96,8.84,USD,completed,UberX,San Francisco,
SYN-UBR-000077,2024-04-16 18:38:00 +0000 UTC,2024-04-16 18:38:00 +0000 UTC,37.78,-122.4,"Office (synthetic, SoMa)",2024-04-16 18:46:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",1.8,8,8.33,0,2.48,10.81,USD,completed,UberX,San Francisco,
SYN-UBR-000078,2024-04-23 08:20:00 +0000 UTC,2024-04-23 08:21:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",2024-04-23 08:29:00 +0000 UTC,37.78,-122.4,"Office (synthetic, SoMa)",1.68,8,7.54,1.95,2.52,12.01,USD,completed,UberX,San Francisco,
SYN-UBR-000079,2024-04-23 18:09:00 +0000 UTC,2024-04-23 18:10:00 +0000 UTC,37.78,-122.4,"Office (synthetic, SoMa)",2024-04-23 18:19:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",1.65,9,8.29,0,2.23,10.52,USD,completed,UberX,San Francisco,
SYN-UBR-000080,2024-04-25 08:23:00 +0000 UTC,2024-04-25 08:23:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",2024-04-25 08:32:00 +0000 UTC,37.78,-122.4,"Office (synthetic, SoMa)",1.64,9,8.18,2.74,3.06,13.98,USD,completed,UberX,San Francisco,
SYN-UBR-000081,2024-04-25 18:22:00 +0000 UTC,2024-04-25 18:22:00 +0000 UTC,37.78,-122.4,"Office (synthetic, SoMa)",2024-04-25 18:31:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",1.74,9,8.49,0,2.62,11.11,USD,completed,UberX,San Francisco,
SYN-UBR-000082,2024-04-26 23:43:00 +0000 UTC,2024-04-26 23:43:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",2024-04-26 23:47:00 +0000 UTC,37.76,-122.41,"Bar (synthetic, Mission)",0.66,4,7.74,2.73,1.76,12.23,USD,completed,UberX,San Francisco,
SYN-UBR-000083,2024-04-27 03:18:00 +0000 UTC,2024-04-27 03:18:00 +0000 UTC,37.76,-122.41,"Bar (synthetic, Mission)",2024-04-27 03:22:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",0.44,4,7.51,0,2.63,10.14,USD,completed,Uber Comfort,San Francisco,
SYN-UBR-000084,2024-04-30 08:19:00 +0000 UTC,2024-04-30 08:19:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",2024-04-30 08:28:00 +0000 UTC,37.78,-122.4,"Office (synthetic, SoMa)",1.78,9,8.99,2.94,2.61,14.54,USD,completed,UberX,San Francisco,
SYN-UBR-000085,2024-04-30 18:02:00 +0000 UTC,2024-04-30 18:03:00 +0000 UTC,37.78,-122.4,"Office (synthetic, SoMa)",2024-04-30 18:11:00 +0000 UTC,37.76,-122.42,"Home (synthetic, Mission)",1.72,8,7.75,3.14,2.33,13.22,USD,completed,UberX,San Francisco,
