CreateTime,Sender,StrContent,Type,Topic,Emotion,DayType
2024-01-02 19:59:08,Partner B,i have one more meeting before i can leave,text,work,flat,normal
2024-01-02 22:02:01,Partner A,omg can we not do spicy today,text,food,flat,normal
2024-01-02 22:05:06,Partner B,[image],image,food,flat,normal
2024-01-02 22:06:03,Partner A,are you sleeping,text,sleep,flat,normal
2024-01-02 22:13:05,Partner A,i missed the bus,text,commute,flat,normal
2024-01-02 22:24:06,Partner B,deploy ran late so i was stuck for a while,text,work,flat,normal
2024-01-02 22:24:07,Partner B,ok i'm on line 2 and the train is crawling?,text,commute,flat,normal
2024-01-02 22:24:09,Partner A,are you sleeping,text,family,flat,normal
2024-01-02 22:33:16,Partner A,ah,text,affection,warm,normal
2024-01-02 22:35:02,Partner B,sleep soon,text,affection,warm,normal
2024-01-02 22:35:04,Partner B,deploy ran late so i was stuck for a while,text,work,flat,normal
2024-01-02 22:48:31,Partner A,i'm so sleepy?,text,sleep,flat,normal
2024-01-02 22:49:04,Partner A,are you sleeping,text,food,flat,normal
2024-01-02 22:51:01,Partner B,ok,text,commute,flat,normal
2024-01-02 22:52:05,Partner A,where are you,text,commute,flat,normal
2024-01-02 22:53:21,Partner A,fine,text,commute,flat,normal
2024-01-02 23:03:12,Partner A,?,text,food,flat,normal
2024-01-02 23:07:17,Partner B,later,text,conflict,frustrated,normal
2024-01-02 23:08:00,Partner A,where are you,text,work,flat,normal
2024-01-02 23:11:07,Partner A,omg,text,work,flat,normal
2024-01-02 23:17:11,Partner B,got the transfer,text,money,flat,normal
2024-01-02 23:18:03,Partner A,traffic is not moving?,text,commute,flat,normal
2024-01-02 23:21:08,Partner A,eat what,text,commute,flat,normal
2024-01-02 23:23:06,Partner B,one sec i saved you some,text,food,flat,normal
2024-01-02 23:37:07,Partner B,deploy ran late so i was stuck for a while?,text,work,flat,normal
2024-01-02 23:43:06,Partner B,don't get another iced drink,text,food,flat,normal
2024-01-02 23:43:08,Partner B,sleep first,text,sleep,flat,normal
2024-01-02 23:46:02,Partner A,don't forget your id,text,plans,flat,normal
2024-01-02 23:49:08,Partner A,lol should i bring fruit?,text,family,flat,normal
2024-01-02 23:49:12,Partner A,where are you,text,food,flat,normal
2024-01-03 00:00:08,Partner B,got it,text,chores,flat,normal
2024-01-03 00:02:05,Partner B,i'll pick you up after this last call?,text,commute,flat,normal
2024-01-03 00:15:08,Partner B,i can cook eggs?,text,food,flat,normal
2024-01-03 00:15:11,Partner A,not funny,text,work,flat,normal
2024-01-03 00:22:08,Partner B,mom said saturday works,text,family,flat,normal
2024-01-03 00:27:06,Partner A,nooo,text,chores,flat,normal
2024-01-03 00:27:11,Partner A,send me the address again?,text,commute,flat,normal
2024-01-03 00:28:06,Partner B,sleep soon,text,chores,flat,normal
2024-01-03 00:37:00,Partner B,there is soup at home,text,food,flat,normal
2024-01-03 00:44:08,Partner A,i paid the electricity bill,text,chores,flat,normal
2024-01-03 00:52:01,Partner A,i swear i am drowning in slides,text,work,flat,normal
2024-01-03 00:54:16,Partner B,"train is delayed again, sorry",text,commute,flat,normal
2024-01-03 00:55:02,Partner A,omg,text,affection,warm,normal
2024-01-03 00:56:06,Partner B,sleep soon,text,work,flat,normal
2024-01-03 08:17:00,Partner A,train is packed?,text,commute,flat,normal
2024-01-03 08:17:05,Partner B,don't rush i'll pick you up after this last call,text,commute,flat,normal
2024-01-03 08:41:07,Partner B,i'll clean it tonight,text,chores,flat,normal
2024-01-03 08:53:07,Partner B,i saved you some,text,food,flat,normal
2024-01-03 08:55:09,Partner A,what are we eating,text,food,flat,normal
2024-01-03 08:57:42,Partner B,i'll clean it tonight,text,chores,flat,normal
2024-01-03 08:58:07,Partner B,we can leave early,text,family,flat,normal
2024-01-03 09:07:06,Partner A,trash day is tomorrow,text,chores,flat,normal
2024-01-03 09:12:04,Partner B,bug is fixed but i need to watch it,text,work,flat,normal
2024-01-03 09:19:07,Partner A,i swear call me for two minutes,text,sleep,flat,normal
2024-01-03 09:23:12,Partner B,don't rush,text,chores,flat,normal
2024-01-03 09:25:06,Partner A,eat what,text,plans,flat,normal
2024-01-03 09:26:00,Partner B,mom said saturday works,text,family,flat,normal
2024-01-03 12:06:01,Partner A,ah,text,commute,flat,normal
2024-01-03 12:07:12,Partner A,wait,text,repair,repairing,normal
2024-01-03 12:12:00,Partner A,laundry is still in the machine,text,chores,flat,normal
2024-01-03 12:18:05,Partner B,ok,text,food,flat,normal
2024-01-03 12:24:12,Partner B,i can move it to sunday,text,plans,flat,normal
2024-01-03 12:31:04,Partner A,tired,text,money,flat,normal
2024-01-03 12:53:10,Partner B,"my bad i'll reply after standup, not ignoring you?",text,work,flat,normal
2024-01-03 12:55:11,Partner A,miss you,text,work,flat,normal
2024-01-03 12:57:10,Partner B,i paid already,text,money,flat,normal
2024-01-03 12:58:01,Partner B,laptop is about to die so i'll call later,text,work,flat,normal
2024-01-03 13:01:00,Partner B,eat first,text,food,flat,normal
2024-01-03 13:03:38,Partner B,laptop is about to die so i'll call later,text,work,flat,normal
2024-01-03 13:04:12,Partner B,i ordered delivery,text,food,flat,normal
2024-01-03 13:11:05,Partner B,on my way,text,work,flat,normal
2024-01-03 13:14:39,Partner A,goodnight,text,sleep,flat,normal
2024-01-03 13:17:07,Partner A,trash day is tomorrow,text,chores,flat,normal
2024-01-03 13:23:06,Partner A,nooo,text,family,flat,normal
2024-01-03 18:03:09,Partner A,tired,text,chores,flat,normal
2024-01-03 18:20:32,Partner A,nooo,text,chores,flat,normal
2024-01-03 18:22:09,Partner A,lol,text,food,flat,normal
2024-01-03 18:29:12,Partner A,eat what,text,commute,flat,normal
2024-01-03 18:42:02,Partner A,what are we eating,text,food,flat,normal
2024-01-03 18:46:00,Partner A,pls laundry is still in the machine?,text,chores,flat,normal
2024-01-03 18:49:12,Partner B,deploy ran late so i was stuck for a while,text,work,flat,normal
2024-01-03 18:54:02,Partner A,i need to complain for five minutes?,text,work,flat,normal
2024-01-03 19:05:03,Partner B,heading out i'm on line 2 and the train is crawling,text,commute,flat,normal
2024-01-03 19:12:05,Partner A,i'm downstairs,text,commute,flat,normal
2024-01-03 19:21:25,Partner A,train is packed?,text,commute,flat,normal
2024-01-03 19:22:43,Partner B,on my way,text,plans,flat,normal
2024-01-03 19:53:10,Partner A,omg,text,commute,flat,normal
2024-01-03 19:58:00,Partner B,don't rush there is soup at home,text,food,flat,normal
2024-01-03 22:05:06,Partner A,[transfer $8.50],transfer,money,flat,normal
2024-01-03 22:20:04,Partner A,lol,text,sleep,flat,normal
2024-01-03 22:20:27,Partner B,ok,text,sleep,flat,normal
2024-01-03 22:23:05,Partner A,are you sleeping,text,food,flat,normal
2024-01-03 22:24:11,Partner A,look,text,plans,flat,normal
2024-01-03 22:30:04,Partner A,eat what,text,sleep,flat,normal
2024-01-03 22:41:04,Partner B,reservation is 7:30,text,plans,flat,normal
2024-01-03 22:42:11,Partner A,can you take the package,text,chores,flat,normal
2024-01-03 22:49:12,Partner A,ah,text,plans,flat,normal
2024-01-03 22:50:01,Partner A,come home safe,text,repair,repairing,normal
2024-01-03 22:51:03,Partner A,nooo,text,food,flat,normal
2024-01-03 22:51:04,Partner A,are you sleeping,text,sleep,flat,normal
2024-01-03 23:02:07,Partner A,goodnight babe?,text,affection,warm,normal
2024-01-03 23:10:09,Partner A,[image],image,food,flat,normal
2024-01-03 23:18:12,Partner B,sleep first,text,sleep,flat,normal
2024-01-03 23:28:06,Partner B,sleep soon,text,commute,flat,normal
2024-01-03 23:31:12,Partner A,fine,text,work,flat,normal
2024-01-03 23:39:01,Partner A,are you sleeping,text,chores,flat,normal
2024-01-04 00:00:12,Partner B,ok,text,money,flat,normal
2024-01-04 00:01:11,Partner A,lol my manager moved the meeting again?,text,work,flat,normal
2024-01-04 00:13:12,Partner A,are you sleeping,text,affection,warm,normal
2024-01-04 00:18:07,Partner A,i am drowning in slides,text,work,flat,normal
2024-01-04 00:22:09,Partner A,wait i paid the electricity bill,text,chores,flat,normal
2024-01-04 00:22:49,Partner B,got it,text,plans,flat,normal
2024-01-04 00:29:07,Partner A,are you sleeping,text,conflict,frustrated,normal
2024-01-04 00:35:10,Partner B,"train is delayed again, sorry?",text,commute,flat,normal
2024-01-04 00:37:04,Partner A,what are we eating?,text,food,flat,normal
2024-01-04 00:45:09,Partner A,fine,text,work,flat,normal
2024-01-04 00:51:16,Partner A,lol,text,commute,flat,normal
2024-01-04 00:54:11,Partner B,later,text,family,flat,normal
2024-01-04 09:05:01,Partner A,i can leave at seven,text,plans,offline together,date
2024-01-04 09:20:05,Partner A,where are you,text,commute,offline together,date
2024-01-04 09:23:00,Partner A,miss you,text,sleep,offline together,date
2024-01-04 09:39:08,Partner A,awake?,text,plans,offline together,date
2024-01-04 10:55:06,Partner A,how much was dinner,text,money,offline together,date
2024-01-04 10:56:07,Partner A,you booked it right?,text,plans,offline together,date
2024-01-04 14:49:04,Partner A,i want noodles?,text,food,offline together,date
2024-01-04 15:41:04,Partner B,one sec,text,sleep,offline together,date
2024-01-04 15:44:01,Partner A,miss you a little?,text,affection,warm,date
2024-01-04 16:12:08,Partner A,miss you,text,plans,offline together,date
2024-01-04 16:19:12,Partner A,nooo,text,plans,offline together,date
2024-01-04 16:32:10,Partner B,my bad close your laptop,text,sleep,offline together,date
2024-01-04 16:32:23,Partner A,fine,text,plans,offline together,date
2024-01-04 18:02:04,Partner B,don't rush there is soup at home,text,food,offline together,date
2024-01-04 18:19:09,Partner A,i missed the bus,text,commute,offline together,date
2024-01-04 18:24:13,Partner A,arrived,text,affection,warm,date
2024-01-04 18:29:09,Partner A,tired,text,food,offline together,date
2024-01-04 18:42:16,Partner A,omg,text,commute,offline together,date
2024-01-04 19:05:09,Partner A,wait,text,food,offline together,date
2024-01-04 23:10:09,Partner A,wait,text,money,offline together,date
2024-01-04 23:12:11,Partner A,?,text,chores,offline together,date
2024-01-04 23:23:00,Partner A,i want noodles,text,food,offline together,date
2024-01-04 23:43:37,Partner A,are you sleeping,text,plans,offline together,date
2024-01-05 00:00:00,Partner A,omg,text,food,offline together,date
2024-01-05 00:02:47,Partner A,traffic is not moving,text,commute,offline together,date
2024-01-05 00:06:08,Partner B,sleep soon,text,sleep,offline together,date
2024-01-05 00:16:26,Partner A,are you sleeping,text,affection,warm,date
2024-01-05 00:34:10,Partner A,i can leave at seven,text,plans,offline together,date
2024-01-05 00:42:01,Partner A,?,text,food,offline together,date
2024-01-05 08:14:11,Partner A,i swear i paid the electricity bill,text,chores,flat,normal
2024-01-05 08:15:01,Partner A,lol,text,work,flat,normal
2024-01-05 08:23:03,Partner A,?,text,commute,flat,normal
2024-01-05 08:45:48,Partner A,pls your sister texted me?,text,family,flat,normal
2024-01-05 08:47:10,Partner A,arrived,text,work,flat,normal
2024-01-05 08:55:04,Partner A,omg i paid the electricity bill,text,chores,flat,normal
2024-01-05 08:57:03,Partner A,i'm downstairs,text,commute,flat,normal
2024-01-05 12:00:42,Partner A,traffic is not moving,text,commute,flat,normal
2024-01-05 12:01:02,Partner A,trash day is tomorrow,text,chores,flat,normal
2024-01-05 12:13:11,Partner A,look,text,plans,flat,normal
2024-01-05 12:16:10,Partner B,my bad,text,work,flat,normal
2024-01-05 12:31:01,Partner A,look,text,work,flat,normal
2024-01-05 12:35:01,Partner A,my manager moved the meeting again?,text,work,flat,normal
2024-01-05 13:06:09,Partner A,eat what,text,family,flat,normal
2024-01-05 13:11:13,Partner A,fine,text,repair,repairing,normal
2024-01-05 18:02:02,Partner B,i have one more meeting before i can leave,text,work,flat,normal
2024-01-05 18:09:12,Partner B,"i'll reply after standup, not ignoring you",text,work,flat,normal
2024-01-05 18:22:11,Partner A,you disappeared again?,text,conflict,frustrated,normal
2024-01-05 18:23:04,Partner A,i forgot to pay you back?,text,money,flat,normal
2024-01-05 18:28:12,Partner A,today is so stupid,text,work,flat,normal
2024-01-05 18:29:08,Partner A,you looked cute today?,text,affection,warm,normal
2024-01-05 18:32:11,Partner A,i am starving?,text,food,flat,normal
2024-01-05 18:42:05,Partner A,arrived,text,repair,repairing,normal
2024-01-05 18:45:11,Partner A,lol,text,chores,flat,normal
2024-01-05 18:57:04,Partner B,i ordered delivery,text,food,flat,normal
2024-01-05 19:05:19,Partner B,let's do the later show,text,plans,flat,normal
2024-01-05 19:49:08,Partner B,"train is delayed again, sorry",text,commute,flat,normal
2024-01-05 22:15:04,Partner B,can we talk later when i can actually focus,text,conflict,frustrated,normal
2024-01-05 22:16:00,Partner B,i have one more meeting before i can leave?,text,work,flat,normal
2024-01-05 22:21:05,Partner A,are you sleeping,text,work,flat,normal
2024-01-05 22:21:10,Partner B,saw it,text,chores,flat,normal
2024-01-05 22:35:10,Partner A,miss you,text,conflict,frustrated,normal
2024-01-05 22:45:39,Partner B,meeting,text,work,flat,normal
2024-01-05 22:48:08,Partner B,sleep soon,text,commute,flat,normal
2024-01-05 22:53:08,Partner B,don't get another iced drink,text,food,flat,normal
2024-01-05 23:00:04,Partner A,pls i might be late after work?,text,work,flat,normal
2024-01-05 23:08:01,Partner B,i'll clean it tonight?,text,chores,flat,normal
2024-01-05 23:13:11,Partner A,omg,text,food,flat,normal
2024-01-05 23:18:41,Partner A,eat what,text,commute,flat,normal
2024-01-05 23:24:07,Partner B,"home safe, babe",text,affection,warm,normal
2024-01-05 23:31:11,Partner B,sleep soon,text,plans,flat,normal
2024-01-05 23:46:07,Partner A,i might be late after work,text,work,flat,normal
2024-01-05 23:51:08,Partner A,are you sleeping,text,plans,flat,normal
2024-01-06 00:06:08,Partner B,wait near the lobby so i can find you,text,commute,flat,normal
2024-01-06 00:17:05,Partner A,miss you,text,plans,flat,normal
2024-01-06 00:27:07,Partner A,i need to complain for five mins,text,work,flat,normal
2024-01-06 00:32:05,Partner A,nooo,text,food,flat,normal
2024-01-06 09:07:03,Partner B,on my way,text,plans,offline together,date
2024-01-06 09:08:08,Partner B,let's do the later show,text,plans,offline together,date
2024-01-06 09:23:01,Partner B,morning,text,money,offline together,date
2024-01-06 09:23:04,Partner A,omg,text,commute,offline together,date
2024-01-06 10:04:08,Partner B,ok i can move it to sunday,text,plans,offline together,date
2024-01-06 10:05:10,Partner A,[image],image,food,offline together,date
2024-01-06 10:30:00,Partner A,look,text,commute,offline together,date
2024-01-06 10:37:11,Partner B,[sticker],sticker,affection,warm,date
2024-01-06 10:41:12,Partner B,where are you,text,plans,offline together,date
2024-01-06 14:06:12,Partner B,one sec,text,commute,offline together,date
2024-01-06 14:08:05,Partner B,i'll clean it tonight,text,chores,offline together,date
2024-01-06 14:12:03,Partner A,tired,text,plans,offline together,date
2024-01-06 15:02:08,Partner A,wait,text,food,offline together,date
2024-01-06 15:22:06,Partner A,wait,text,plans,offline together,date
2024-01-06 15:27:05,Partner B,saw it,text,affection,warm,date
2024-01-06 15:37:02,Partner B,ok rice or noodles,text,food,offline together,date
2024-01-06 16:55:09,Partner A,nooo,text,sleep,offline together,date
2024-01-06 18:17:22,Partner A,eat what,text,money,offline together,date
2024-01-06 18:19:08,Partner A,tired,text,plans,offline together,date
2024-01-06 18:21:12,Partner A,eat what,text,affection,warm,date
2024-01-06 18:27:10,Partner A,lol,text,plans,offline together,date
2024-01-06 18:27:37,Partner B,my bad,text,commute,offline together,date
2024-01-06 18:30:05,Partner A,i missed the bus?,text,commute,offline together,date
2024-01-06 18:31:07,Partner B,saw it,text,plans,offline together,date
2024-01-06 18:43:07,Partner A,wait,text,commute,offline together,date
2024-01-06 18:59:11,Partner A,i can leave at seven,text,plans,offline together,date
2024-01-06 19:00:11,Partner A,lol movie or dinner first,text,plans,offline together,date
2024-01-06 19:12:04,Partner A,look,text,commute,offline together,date
2024-01-06 19:20:09,Partner A,no because train is packed,text,commute,offline together,date
2024-01-06 19:23:06,Partner B,later,text,food,offline together,date
2024-01-06 23:02:03,Partner B,one sec,text,sleep,offline together,date
2024-01-06 23:11:12,Partner A,i missed the bus?,text,commute,offline together,date
2024-01-06 23:23:03,Partner A,where are you,text,commute,offline together,date
2024-01-06 23:27:04,Partner B,don't rush,text,food,offline together,date
2024-01-06 23:28:09,Partner B,sleep soon,text,affection,warm,date
2024-01-06 23:33:03,Partner A,ah,text,money,offline together,date
2024-01-06 23:37:00,Partner B,come down,text,plans,offline together,date
2024-01-06 23:46:24,Partner A,omg,text,plans,offline together,date
2024-01-07 00:05:00,Partner A,i got us a table,text,work,offline together,date
2024-01-07 00:05:52,Partner A,[sticker],sticker,affection,warm,date
2024-01-07 00:17:05,Partner A,miss you,text,affection,warm,date
2024-01-07 00:34:07,Partner A,miss you,text,commute,offline together,date
2024-01-07 00:36:01,Partner B,don't get another iced drink,text,food,offline together,date
2024-01-07 00:40:05,Partner B,let's do the later show,text,plans,offline together,date
2024-01-07 08:25:04,Partner A,tired,text,food,flat,normal
2024-01-07 08:25:08,Partner A,?,text,plans,flat,normal
2024-01-07 08:31:12,Partner A,arrived,text,affection,warm,normal
2024-01-07 08:40:52,Partner B,[image],image,food,flat,normal
2024-01-07 09:10:12,Partner A,i saved this meme for you?,text,affection,warm,normal
2024-01-07 12:04:12,Partner B,don't worry about it?,text,money,flat,normal
2024-01-07 12:05:02,Partner B,i'll check the weather,text,plans,flat,normal
2024-01-07 12:07:12,Partner B,laptop is about to die so i'll call later,text,work,flat,normal
2024-01-07 12:15:08,Partner B,my bad,text,commute,flat,normal
2024-01-07 12:22:12,Partner A,i'm downstairs,text,commute,flat,normal
2024-01-07 12:26:05,Partner B,one sec,text,food,flat,normal
2024-01-07 12:39:12,Partner A,where are you,text,plans,flat,normal
2024-01-07 13:00:42,Partner A,presentation is finally done,text,work,flat,normal
2024-01-07 13:10:08,Partner B,later,text,conflict,frustrated,normal
2024-01-07 13:13:02,Partner A,we need to decide?,text,plans,flat,normal
2024-01-07 13:14:03,Partner A,where are you,text,commute,flat,normal
2024-01-07 18:08:12,Partner A,look,text,money,flat,normal
2024-01-07 18:34:01,Partner A,nooo,text,plans,flat,normal
2024-01-07 18:39:37,Partner A,wait,text,work,flat,normal
2024-01-07 18:46:10,Partner A,we need paper towels,text,chores,flat,normal
2024-01-07 18:49:12,Partner B,proud of you,text,affection,warm,normal
2024-01-07 19:07:03,Partner A,[image],image,commute,flat,normal
2024-01-07 19:16:02,Partner A,tired,text,commute,flat,normal
2024-01-07 19:23:34,Partner B,don't rush,text,food,flat,normal
2024-01-07 19:34:08,Partner A,lol,text,work,flat,normal
2024-01-07 19:35:12,Partner B,i'm on line 2 and the train is crawling,text,commute,flat,normal
2024-01-07 19:36:49,Partner A,not funny,text,chores,flat,normal
2024-01-07 19:49:08,Partner A,[sticker],sticker,affection,warm,normal
2024-01-07 22:04:01,Partner A,lol,text,commute,flat,normal
2024-01-07 22:06:24,Partner A,where are you,text,plans,flat,normal
2024-01-07 22:15:05,Partner A,wait,text,commute,flat,normal
2024-01-07 22:23:12,Partner A,no because wake me up at eight,text,sleep,flat,normal
2024-01-07 22:24:51,Partner A,goodnight?,text,sleep,flat,normal
2024-01-07 22:25:08,Partner A,fine,text,work,flat,normal
2024-01-07 22:26:17,Partner B,i saved you some,text,food,flat,normal
2024-01-07 22:42:40,Partner A,goodnight?,text,sleep,flat,normal
2024-01-07 22:45:06,Partner B,i can move it to sunday,text,plans,flat,normal
2024-01-07 22:53:11,Partner B,sleep soon,text,work,flat,normal
2024-01-07 22:57:09,Partner A,?,text,chores,flat,normal
2024-01-07 23:07:04,Partner B,i'll check i'll call after shower,text,sleep,flat,normal
2024-01-07 23:13:10,Partner B,ok deploy ran late so i was stuck for a while?,text,work,flat,normal
2024-01-07 23:20:04,Partner B,i have one more meeting before i can leave,text,work,flat,normal
2024-01-07 23:29:00,Partner A,omg,text,chores,flat,normal
2024-01-07 23:43:01,Partner A,i can't sleep,text,sleep,flat,normal
2024-01-07 23:49:22,Partner B,i ordered detergent,text,chores,flat,normal
2024-01-07 23:55:35,Partner A,no because we need to decide?,text,plans,flat,normal
2024-01-08 00:00:03,Partner B,bring the charger,text,plans,flat,normal
2024-01-08 00:07:02,Partner B,"bring nothing, seriously",text,family,flat,normal
2024-01-08 00:08:00,Partner B,i ordered detergent,text,chores,flat,normal
2024-01-08 00:11:11,Partner A,are you sleeping,text,work,flat,normal
2024-01-08 00:29:05,Partner A,tired,text,plans,flat,normal
2024-01-08 00:33:07,Partner A,"i swear don't buy milk, we still have some",text,food,flat,normal
2024-01-08 00:35:00,Partner A,eat what,text,food,flat,normal
2024-01-08 00:39:03,Partner A,are you sleeping,text,affection,warm,normal
2024-01-08 00:50:11,Partner A,i am at the gate,text,commute,flat,normal
2024-01-08 00:59:11,Partner B,code review is still going,text,work,flat,normal
2024-01-08 08:24:05,Partner A,fine,text,sleep,flat,normal
2024-01-08 08:32:06,Partner B,rent went through,text,chores,flat,normal
2024-01-08 08:53:00,Partner A,wait i can't sleep,text,sleep,flat,normal
2024-01-08 09:20:08,Partner A,awake?,text,commute,flat,normal
2024-01-08 09:21:03,Partner A,lol don't forget your id?,text,plans,flat,normal
2024-01-08 09:27:03,Partner A,we need to decide,text,plans,flat,normal
2024-01-08 12:13:02,Partner A,nooo,text,money,flat,normal
2024-01-08 12:14:04,Partner B,"i'll reply after standup, not ignoring you?",text,work,flat,normal
2024-01-08 12:21:03,Partner A,arrived,text,commute,flat,normal
2024-01-08 12:25:05,Partner A,where are you,text,food,flat,normal
2024-01-08 12:40:45,Partner B,saw it,text,work,flat,normal
2024-01-08 12:55:00,Partner A,don't let me nap,text,sleep,flat,normal
2024-01-08 12:56:16,Partner B,laptop is about to die so i'll call later,text,work,flat,normal
2024-01-08 13:04:04,Partner A,where are you,text,money,flat,normal
2024-01-08 18:08:14,Partner A,omg i am starving,text,food,flat,normal
2024-01-08 18:09:34,Partner A,send me the address again,text,commute,flat,normal
2024-01-08 18:16:00,Partner A,eat what,text,plans,flat,normal
2024-01-08 18:22:01,Partner B,code review is still going,text,work,flat,normal
2024-01-08 18:54:00,Partner B,goodnight,text,affection,warm,normal
2024-01-08 19:10:02,Partner A,i swear they asked if you are coming?,text,family,flat,normal
2024-01-08 19:14:00,Partner A,no because i'm downstairs?,text,commute,flat,normal
2024-01-08 19:16:03,Partner B,my bad i have one more meeting before i can leave,text,work,flat,normal
2024-01-08 19:30:11,Partner B,bug is fixed but i need to watch it,text,work,flat,normal
2024-01-08 19:31:07,Partner A,ah,text,food,flat,normal
2024-01-08 19:32:04,Partner A,goodnight?,text,sleep,flat,normal
2024-01-08 19:36:06,Partner B,ok don't get another iced drink,text,food,flat,normal
2024-01-08 19:36:12,Partner B,rice or noodles?,text,food,flat,normal
2024-01-08 19:38:10,Partner A,[sticker],sticker,affection,warm,normal
2024-01-08 19:48:24,Partner A,tired,text,chores,flat,normal
2024-01-08 22:07:04,Partner B,i'll call after shower,text,sleep,flat,normal
2024-01-08 22:16:51,Partner A,are you sleeping,text,chores,flat,normal
2024-01-08 22:26:02,Partner A,tired,text,sleep,flat,normal
