Identifier,Title,Description,Status,Priority,Assignee,Project,Cycle,Estimate,Labels,Created,Updated,Due Date
INF-401,Postgres — index on sessions.user_id,Sessions table has 2.4M rows; user_id lookup p99 = 380ms.,Done,P1,Alex Rivera,Infrastructure,Cycle 13,2,"backend, perf",2026-04-01,2026-04-14,
INF-402,Cron — billing reconciliation drift,Daily reconciliation cron drifts by 3-7m vs intended 02:00 UTC; investigate.,In Progress,P2,Alex Rivera,Infrastructure,Cycle 14,3,"backend, ops",2026-04-21,2026-04-30,
INF-403,Logging — drop debug logs from prod by default,Debug-level logs flooding Loki; cap at info+ unless explicit override.,Todo,P2,Devon Park,Infrastructure,Cycle 14,1,"backend, ops",2026-04-25,2026-04-25,
INF-404,Backup — verify restore from latest snapshot,Verify weekly Postgres snapshot can restore to a fresh staging cluster.,Blocked,P1,Alex Rivera,Infrastructure,Cycle 14,2,"backend, ops",2026-04-12,2026-04-13,2026-04-30
INF-405,Migration — add `tier_flag` column to accounts,Adds nullable `tier_flag` to accounts; drives Pricing V2 backend.,Done,P1,Devon Park,Infrastructure,Cycle 13,1,"backend, db",2026-03-30,2026-04-10,
SEC-501,SOC2 — access review for production database,Quarterly access review; confirm only oncall list has prod DB read access.,Todo,P0,Alex Rivera,Security,Cycle 14,2,"security, compliance",2026-04-26,2026-04-26,2026-05-15
SEC-502,SOC2 — vendor list refresh,Update vendor inventory; add Customer.io and LaunchDarkly.,In Review,P2,Sarah Kim,Security,Cycle 14,1,"compliance",2026-04-22,2026-05-05,
SEC-503,Auth — rotate JWT signing key,Schedule rotation; staged with overlap window so existing tokens remain valid.,Todo,P1,Devon Park,Security,Cycle 14,2,"backend, auth",2026-04-25,2026-04-25,2026-05-12
SEC-504,Auth — 2FA backup codes UX,Backup codes shown once on enrollment; allow regenerate from settings.,Backlog,P2,Mira Chen,Security,,2,"frontend, auth",2026-04-18,2026-04-18,
GRO-601,Growth — referral program v0,Friend invite with both-sides credit; cap at 5 invites / user.,In Progress,P2,Sarah Kim,Growth Q2,Cycle 14,5,"frontend, backend",2026-04-08,2026-04-26,2026-05-15
GRO-602,Growth — landing page A/B for hero copy,Test 3 hero copy variants; primary metric = signup clicks.,Done,P2,Sarah Kim,Growth Q2,Cycle 13,2,"copy, marketing",2026-03-22,2026-04-12,
GRO-603,Growth — content piece on integrations,Long-form post on Slack + Notion + Linear integrations; engineering co-author.,Todo,P3,Mira Chen,Growth Q2,Cycle 14,2,"content",2026-04-21,2026-04-21,2026-05-08
GRO-604,Growth — top-of-funnel attribution,Plumb UTM params end-to-end; ensure they survive signup → first action.,Backlog,P3,Devon Park,Growth Q2,,3,"backend, analytics",2026-04-15,2026-04-15,
GRO-605,Growth — community-led referral cohort,Track referral cohort retention separately; measure 30 / 60 / 90 day.,Backlog,P3,Sarah Kim,Growth Q2,,2,"analytics, content",2026-04-15,2026-04-15,
DEBT-701,Debt — replace lodash with native ES,Remove lodash dependency; ~38KB bundle savings.,Done,P3,Jordan Tate,Tech Debt,Cycle 13,2,"frontend, debt",2026-03-15,2026-04-02,
DEBT-702,Debt — migrate API client to fetch + zod,Drop axios; standardize on fetch + zod-validated responses.,Backlog,P3,Devon Park,Tech Debt,,5,"frontend, backend, debt",2026-03-20,2026-03-20,
DEBT-703,Debt — sunset deprecated /v1/sessions endpoint,Remove /v1/sessions; clients moved to /v2 last quarter. Confirm zero traffic for 7d.,In Progress,P3,Alex Rivera,Tech Debt,Cycle 14,2,"backend, debt",2026-03-08,2026-04-25,
DEBT-704,Debt — extract email templates from app code,Email template inlined in app/email.ts; move to /templates with i18n.,Backlog,P3,Sarah Kim,Tech Debt,,3,"backend, debt",2026-03-10,2026-03-10,
HIRE-801,Hire — VP Engineering search,Open req; sourcing through Talia + warm intros.,In Progress,P0,Sam Reyes,Hiring,Cycle 14,8,"hiring",2026-03-25,2026-05-04,2026-06-15
HIRE-802,Hire — Senior fullstack #2,Senior fullstack with payments background.,Todo,P1,Sam Reyes,Hiring,Cycle 14,5,"hiring",2026-04-18,2026-04-18,
HIRE-803,Hire — DevRel hire (deferred to Q3),Deferred until Series A closes; revisit June.,Cancelled,P3,Sam Reyes,Hiring,,3,"hiring",2026-03-12,2026-04-09,
DOC-901,Docs — getting started rewrite,Replace 2024 getting-started page with 2026 flow; uses sample data seed.,Todo,P3,Mira Chen,Docs,Cycle 14,3,"content, docs",2026-04-22,2026-04-22,
DOC-902,Docs — API reference versioning,API reference still shows /v1 examples; flip to /v2.,Backlog,P3,Devon Park,Docs,,2,"backend, docs",2026-03-22,2026-03-22,
